frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects,stream_total_ms,phase_unload_us,phase_async_us,phase_inst_us,phase_promo_us,phase_coll_us,phase_defer_us,phase_queue_us,phase_cellupd_us
3308,18.01,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514644418,0,14378,795,2333.2,2088.8,395,7.78,1,23,26,7672,6,2,3,0
3309,25.02,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514644714,0,14378,795,2333.2,2088.8,395,0.40,2,10,16,5,321,2,3,0
3310,17.57,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514644994,0,14378,795,2333.2,2088.8,395,8.02,1,10,17,7870,7,70,0,0
3311,24.04,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514645290,0,14378,795,2333.2,2088.8,395,0.43,1,10,16,6,356,2,1,0
3312,18.04,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514645586,0,14378,795,2333.2,2088.8,395,7.92,1,21,20,7801,14,5,2,0
3313,24.30,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514647802,0,14378,795,2333.2,2088.8,395,0.71,2,17,28,10,581,3,2,0
3314,17.70,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514646194,0,14378,795,2333.2,2088.8,395,7.46,1,10,18,7305,6,79,2,0
3315,23.90,49.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514648426,0,14378,795,2333.2,2088.8,395,0.39,1,10,17,5,313,2,4,0
3316,18.10,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514646786,0,14378,795,2333.2,2088.8,395,7.60,1,12,19,7489,10,6,6,0
3317,23.74,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514647082,0,14378,795,2333.2,2088.8,395,0.40,2,11,17,6,323,3,2,0
3318,17.78,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514647378,0,14378,795,2333.2,2088.8,395,7.54,1,10,16,7404,7,63,3,0
3319,25.75,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514647674,0,14378,795,2333.2,2088.8,395,0.48,1,12,19,7,388,3,2,0
3320,17.55,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514647970,0,14378,795,2333.2,2088.8,395,7.83,1,10,18,7745,7,2,2,0
3321,24.56,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514648770,0,14378,795,2333.2,2088.8,395,0.44,1,15,23,7,350,2,2,0
3322,18.08,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514649066,0,14378,795,2333.2,2088.8,395,7.67,1,13,21,7516,5,73,2,0
3323,24.20,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514649362,0,14378,795,2333.2,2088.8,395,0.39,1,11,17,5,313,2,2,0
3324,17.84,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514649658,0,14378,795,2333.2,2088.8,395,7.63,1,11,18,7552,7,2,2,0
3325,24.83,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514649954,0,14378,795,2333.2,2088.8,395,0.43,1,13,18,7,348,2,2,0
3326,18.21,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514650250,0,14378,795,2333.2,2088.8,395,7.35,2,12,19,7206,7,63,3,0
3327,22.98,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514650546,0,14378,795,2333.2,2088.8,395,0.61,2,16,24,9,499,4,2,0
3328,17.58,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514650842,0,14378,795,2333.2,2088.8,395,7.33,1,11,18,7234,12,4,4,0
3329,24.59,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514651138,0,14378,795,2333.2,2088.8,395,0.39,1,10,17,5,318,2,1,0
3330,19.19,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514651706,0,14378,795,2333.2,2088.8,395,7.91,1,9,24,7769,6,67,2,0
3331,25.09,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514651714,0,14378,795,2333.2,2088.8,395,0.39,1,11,17,6,307,2,2,0
3332,17.72,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514652010,0,14378,795,2333.2,2088.8,395,7.95,1,11,18,7864,5,3,2,0
3333,25.15,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514652306,0,14378,795,2333.2,2088.8,395,0.50,1,15,25,8,397,3,1,0
3334,17.50,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514652602,0,14378,795,2333.2,2088.8,395,8.60,2,12,17,8529,0,0,0,0
3335,25.50,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514652898,0,14378,795,2333.2,2088.8,395,0.42,1,12,19,6,339,3,2,0
3336,17.24,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514653194,0,14378,795,2333.2,2088.8,395,7.20,1,13,20,7115,7,2,2,0
3337,23.36,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514653490,0,14378,795,2333.2,2088.8,395,0.54,1,13,20,7,445,3,3,0
3338,17.76,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514653786,0,14378,795,2333.2,2088.8,395,8.11,1,10,17,8037,0,0,0,0
3339,25.23,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514654082,0,14378,795,2333.2,2088.8,395,0.39,1,10,20,7,318,2,2,0
3340,17.73,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514654378,0,14378,795,2333.2,2088.8,395,7.85,2,14,17,7765,8,3,3,0
3341,24.29,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514654674,0,14378,795,2333.2,2088.8,395,0.40,1,12,18,7,314,2,1,0
3342,17.43,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514655714,0,14378,795,2333.2,2088.8,395,8.05,1,9,17,7920,7,64,0,0
3343,25.26,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514656010,0,14378,795,2333.2,2088.8,395,0.44,2,12,19,6,360,3,1,0
3344,18.20,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514656306,0,14378,795,2333.2,2088.8,395,8.43,2,13,21,8345,0,0,0,0
3345,28.09,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514656602,0,14378,795,2333.2,2088.8,395,0.38,1,11,17,5,300,2,1,0
3346,21.03,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514656882,0,14378,795,2333.2,2088.8,395,9.75,2,11,18,9675,0,0,0,0
3347,27.13,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514657178,0,14378,795,2333.2,2088.8,395,0.36,1,10,16,5,288,2,2,0
3348,18.94,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514657474,0,14378,795,2333.2,2088.8,395,8.26,1,16,23,8168,0,0,0,0
3349,25.91,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514657770,0,14378,795,2333.2,2088.8,395,0.37,1,11,17,5,295,2,2,0
3350,17.12,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514658066,0,14378,795,2333.2,2088.8,395,7.38,1,11,17,7246,5,58,2,0
3351,24.11,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514658362,0,14378,795,2333.2,2088.8,395,0.36,1,10,16,5,286,2,2,0
3352,18.03,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514658658,0,14378,795,2333.2,2088.8,395,7.45,1,9,16,7375,5,3,2,0
3353,25.13,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514658954,0,14378,795,2333.2,2088.8,395,0.48,1,10,25,7,399,2,2,0
3354,18.08,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514659250,0,14378,795,2333.2,2088.8,395,7.65,1,10,17,7521,5,59,2,0
3355,24.64,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514659546,0,14378,795,2333.2,2088.8,395,0.41,2,16,17,8,323,3,2,0
3356,17.93,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514659842,0,14378,795,2333.2,2088.8,395,7.14,1,12,16,7059,7,2,2,0
3357,23.40,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514660138,0,14378,795,2333.2,2088.8,395,0.38,1,14,26,6,295,2,2,0
3358,17.98,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514662354,0,14378,795,2333.2,2088.8,395,7.56,1,11,17,7414,7,70,2,0
3359,23.87,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514662650,0,14378,795,2333.2,2088.8,395,0.38,1,11,17,6,302,3,1,0
3360,20.26,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514661346,0,14378,795,2333.2,2088.8,395,7.54,1,8,18,7465,5,2,2,0
3361,25.35,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514661338,0,14378,795,2333.2,2088.8,395,0.49,2,19,26,9,371,2,2,0
3362,32.89,46.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514661634,0,14378,795,2333.2,2088.8,395,7.31,1,12,18,7166,6,63,1,0
3363,24.12,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514661930,0,14378,795,2333.2,2088.8,395,0.39,1,11,18,6,314,2,2,0
3364,17.88,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514662226,0,14378,795,2333.2,2088.8,395,7.56,1,10,16,7481,6,3,3,0
3365,24.42,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514662522,0,14378,795,2333.2,2088.8,395,0.36,1,10,16,6,289,2,2,0
3366,18.84,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514662818,0,14378,795,2333.2,2088.8,395,7.60,1,11,17,7454,7,64,2,0
3367,24.30,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514663114,0,14378,795,2333.2,2088.8,395,0.37,1,10,16,5,295,2,1,0
3368,18.86,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514663410,0,14378,795,2333.2,2088.8,395,7.69,1,17,27,7591,10,2,2,0
3369,23.71,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514663706,0,14378,795,2333.2,2088.8,395,0.38,1,11,17,6,306,2,1,0
3370,19.27,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514664002,0,14378,795,2333.2,2088.8,395,8.08,1,10,16,8006,0,0,0,0
3371,24.80,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514664298,0,14378,795,2333.2,2088.8,395,0.42,2,12,25,8,338,2,2,0
3372,17.65,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514664594,0,14378,795,2333.2,2088.8,395,8.64,1,11,17,8560,0,0,0,0
3373,25.21,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514666018,0,14378,795,2333.2,2088.8,395,0.39,2,16,16,5,317,3,1,0
3374,18.08,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514666314,0,14378,795,2333.2,2088.8,395,7.48,2,12,19,7323,8,73,2,0
3375,24.61,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514666610,0,14378,795,2333.2,2088.8,395,0.55,2,16,24,9,439,3,2,0
3376,18.13,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514666890,0,14378,795,2333.2,2088.8,395,7.53,1,12,25,7429,5,3,2,0
3377,23.90,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514669106,0,14378,795,2333.2,2088.8,395,0.49,2,13,21,13,375,2,2,0
3378,18.34,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514667482,0,14378,795,2333.2,2088.8,395,7.69,1,27,34,7510,7,67,2,0
3379,24.28,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514669698,0,14378,795,2333.2,2088.8,395,0.40,1,11,17,6,319,2,1,0
3380,17.47,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514668074,0,14378,795,2333.2,2088.8,395,7.16,1,10,16,7084,7,3,2,0
3381,24.82,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514670290,0,14378,795,2333.2,2088.8,395,0.37,1,12,20,5,280,3,1,0
3382,17.17,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514668666,0,14378,795,2333.2,2088.8,395,8.16,2,17,26,8060,0,0,0,0
3383,25.36,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514670882,0,14378,795,2333.2,2088.8,395,0.39,1,11,18,6,313,2,2,0
3384,17.70,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514669258,0,14378,795,2333.2,2088.8,395,7.81,1,11,18,7721,11,3,2,0
3385,24.87,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514671474,0,14378,795,2333.2,2088.8,395,0.40,1,13,22,5,316,2,2,0
3386,17.74,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514669850,0,14378,795,2333.2,2088.8,395,8.07,2,15,24,7905,7,69,0,0
3387,25.56,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514670146,0,14378,795,2333.2,2088.8,395,0.60,2,17,26,8,475,7,5,0
3388,18.70,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514670442,0,14378,795,2333.2,2088.8,395,7.66,1,11,17,7572,7,2,3,0
3389,23.73,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514670738,0,14378,795,2333.2,2088.8,395,0.43,1,15,21,8,327,4,3,0
3390,19.02,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514671322,0,14378,795,2333.2,2088.8,395,7.07,1,8,16,6937,6,65,2,0
3391,24.66,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514671330,0,14378,795,2333.2,2088.8,395,0.43,1,11,18,6,350,3,1,0
3392,17.32,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514671626,0,14378,795,2333.2,2088.8,395,7.87,1,10,16,7770,13,5,4,0
3393,25.29,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514671922,0,14378,795,2333.2,2088.8,395,0.41,1,12,18,6,329,3,1,0
3394,18.85,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514672218,0,14378,795,2333.2,2088.8,395,7.58,1,14,27,7417,5,59,2,0
3395,24.01,47.0,7200,7078,8754,3247970,0,117,1,-175.5,5.0,994.7,2514672514,0,14378,795,2333.2,2088.8,395,0.41,1,9,16,6,336,3,1,0
