frame,time_ms,fps,node_count,draw_calls,rendered_objects,primitives,queue_size,loaded_cells,async_requests,cam_x,cam_y,cam_z,memory_static,segment,mid_instances,mid_mesh_types,vram_mb,texture_mem_mb,promoted_objects
45,38.83,21.0,2021,285,532,72001,284,0,2,-175.5,100.0,994.7,1664005646,0,223,90,428.5,372.6,0
46,37.97,21.0,2059,298,550,72357,279,0,2,-175.5,100.0,994.7,1664482562,0,228,90,430.7,374.7,0
47,43.62,21.0,2095,306,560,72701,273,0,2,-175.5,100.0,994.7,1669058738,0,234,90,431.2,375.2,0
48,37.36,21.0,2143,310,569,73741,265,0,2,-175.5,100.0,994.7,1671561730,0,242,90,433.2,377.2,0
49,34.73,20.0,2192,318,580,74579,259,0,2,-175.5,100.0,994.7,1672074546,0,247,91,433.8,377.8,0
50,41.68,20.0,2232,322,584,74901,252,0,2,-175.5,100.0,994.7,1676813936,0,253,91,433.5,377.6,0
51,37.99,20.0,2283,334,596,78755,246,0,2,-175.5,100.0,994.7,1679204142,0,258,92,435.5,379.6,0
52,51.21,20.0,2323,333,601,79329,241,0,2,-175.5,100.0,994.7,1684042886,0,263,92,436.8,380.8,0
53,44.76,20.0,2375,330,612,80493,234,0,2,-175.5,100.0,994.7,1688623506,0,270,94,438.8,382.8,0
54,60.85,20.0,2418,333,621,81177,228,0,2,-175.5,100.0,994.7,1697509602,0,275,94,441.2,385.2,0
55,40.05,20.0,2469,325,634,81848,221,0,2,-175.5,100.0,994.7,1698067898,1,282,94,445.2,389.2,0
56,89.84,20.0,35,63,218,36570,0,0,0,-175.5,150.0,1794.7,1692927378,1,282,94,444.5,388.5,0
57,128.52,20.0,35,4,84,29890,0,0,0,-175.5,150.0,1794.0,1689976174,1,0,94,445.5,389.5,0
58,43.09,20.0,35,4,84,29890,0,0,0,-175.5,149.7,1790.3,1692269631,1,0,94,445.5,389.5,0
59,34.34,20.0,37,4,83,29888,0,0,2,-175.5,149.6,1788.4,1700886156,1,0,94,445.5,389.5,0
60,42.74,20.0,39,4,83,29888,0,2,2,-175.5,149.5,1786.7,1707523391,1,0,94,450.5,394.5,0
61,97.76,20.0,41,4,83,29888,0,4,2,-175.5,149.3,1784.2,1726830685,1,0,94,452.5,396.5,0
62,24.56,20.0,43,4,83,29888,20,6,2,-175.5,148.9,1777.5,1729680622,1,0,94,460.1,404.0,0
63,68.14,20.0,49,4,84,29890,74,8,1,-175.5,148.8,1775.6,1735614953,1,47,104,465.8,409.5,0
64,43.15,20.0,53,4,84,29890,24,8,3,-175.5,148.4,1769.8,1742627598,1,96,106,468.7,412.4,0
